day,daily_second_dose_vaccinations
0,136125
1,111982
2,108415
3,109907
4,90804
5,85546
6,81858
7,77583
8,65008
9,24193
10,6188
11,42843
12,78145
13,81368
14,71065
15,62428
16,26622
17,5586
18,31103
19,73374
20,78913
21,80459
22,77280
23,76530
24,72103
25,47009
26,70500
27,63150
28,60524
29,56363
30,49723
31,38941
32,26294
33,43146
34,38597
35,37746
36,35126
37,32064
38,31706
39,25202
40,32387
41,30338
42,30491
43,29353
44,27982
45,25907
46,18282
47,27599
48,26670
49,26288
50,25996
51,25019
52,16222
53,26014
54,25027
55,23888
56,24300
57,24366
58,21005
59,13250
60,35563
61,42179
62,49899
63,58000
64,70861
65,90079
66,64576
67,84817
68,94005
69,79681
70,84953
71,95609
72,84224
73,55199
74,82391
75,63920
76,66181
77,67597
78,77811
79,79718
80,43716
81,37669
82,52902
83,55405
84,54361
85,58072
86,65941
87,43783
88,39692
89,39587
90,38436
